Short name	Accession	TaxId	Name	Path	Assembly file	GFF file	lineage
TriviGv29_8_2	TriviGv29_8_2	413071	Trichoderma virens Gv29-8 v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/TriviGv29_8_2	Trichoderma_virens_v2.AssembledScaffolds.fasta.gz	TriviGv29_8_2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,hypocreales,hypocreaceae,trichoderma,trichoderma virens,trichoderma virens gv29-8"
Neute_matA2	Neute_matA2	510952	Neurospora tetrasperma FGSC 2508 mat A v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Neute_matA2	Neurospora_tetrasperma_matA_v2.unmasked_nuclear_assembly.gz	Neute_matA2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,sordariales,sordariaceae,neurospora,neurospora tetrasperma,neurospora tetrasperma fgsc 2509"
Cersu1	Cersu1	914234	Ceriporiopsis (Gelatoporia) subvermispora B	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Cersu1	Ceriporiopsis_subvermispora.unmasked.fasta.gz	Cersu1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,gelatoporiaceae,gelatoporia,gelatoporia subvermispora,gelatoporia subvermispora b"
PleosPC15_2	PleosPC15_2	1137138	Pleurotus ostreatus PC15 v2.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/PleosPC15_2	PleosPC15_2_Assembly_scaffolds.fasta.gz	PleosPC15_2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,pleurotaceae,pleurotus,pleurotus ostreatus,pleurotus ostreatus pc15"
Hetan2	Hetan2	747525	Heterobasidion annosum v2.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Hetan2	Heterobasidion_annosum.AssembledScaffolds.fasta.gz	Hetan2_FrozenGeneCatalog_20120113_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,russulales,bondarzewiaceae,heterobasidion,heterobasidion annosum species complex,heterobasidion irregulare,heterobasidion irregulare tc 32-1"
Dotse1	Dotse1	64363	Dothistroma septosporum NZE10 v1.0	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Dotse1	Dotse1_AssemblyScaffolds.fasta.gz	Dotse1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,dothideomycetidae,mycosphaerellales,mycosphaerellaceae,dothistroma,dothistroma septosporum"
Walse1	Walse1	671144	Wallemia mellicola v1.0	DIKARYA/BASIDIOMYCOTA/WALLEMIOMYCETES/Walse1	Walse1_AssemblyScaffolds.fasta.gz	Walse1_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,wallemiomycotina,wallemiomycetes,wallemiales,wallemiaceae,wallemia,wallemia mellicola,wallemia mellicola cbs 633.66"
Glotr1_1	Glotr1_1	670483	Gloeophyllum trabeum v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Glotr1_1	Glotr1_1_AssemblyScaffolds.fasta.gz	Glotr1_1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,gloeophyllales,gloeophyllaceae,gloeophyllum,gloeophyllum trabeum,gloeophyllum trabeum atcc 11539"
Sepmu1	Sepmu1	692275	Septoria musiva SO2202 v1.0	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Sepmu1	Sepmu1_AssemblyScaffolds.fasta.gz	Sepmu1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,dothideomycetidae,mycosphaerellales,mycosphaerellaceae,sphaerulina,sphaerulina musiva,sphaerulina musiva so2202"
Hanpo2	Hanpo2	638633	Ogataea polymorpha NCYC 495 leu1.1 v2.0	ASCOMYCOTA/SACCHAROMYCOTINA/Hanpo2	Hanpo2_AssemblyScaffolds.fasta.gz	Hanpo2_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,saccharomycotina,saccharomycetes,saccharomycetales,pichiaceae,ogataea,ogataea polymorpha,ogataea polymorpha ncyc 495 leu1.1"
Rhoba1_1	Rhoba1_1	578459	Rhodotorula graminis strain WP1 v1.1	DIKARYA/BASIDIOMYCOTA/PUCCINIOMYCOTINA/Rhoba1_1	Rhoba1_1_AssemblyScaffolds.fasta.gz	Rhoba1_1_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,pucciniomycotina,microbotryomycetes,sporidiobolales,sporidiobolaceae,rhodotorula,rhodotorula graminis,rhodotorula graminis wp1"
Wolco1	Wolco1	81056	Wolfiporia cocos MD-104 SS10 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Wolco1	Wolco1_AssemblyScaffolds.fasta.gz	Wolco1_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,laetiporaceae,wolfiporia,wolfiporia cocos"
Sacce1	Sacce1	559292	Saccharomyces cerevisiae S288C	ASCOMYCOTA/SACCHAROMYCOTINA/Sacce1	Sacce1_AssemblyScaffolds.fasta.gz	Sacce1_GeneCatalog_genes_20101210.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,saccharomycotina,saccharomycetes,saccharomycetales,saccharomycetaceae,saccharomyces,saccharomyces cerevisiae,saccharomyces cerevisiae s288c"
Punst1	Punst1	741275	Punctularia strigosozonata v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Punst1	Punst1_AssemblyScaffolds.fasta.gz	Punst1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,corticiales,punctulariaceae,punctularia,punctularia strigosozonata,punctularia strigosozonata hhb-11173 ss5"
Stehi1	Stehi1	721885	Stereum hirsutum FP-91666 SS1 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Stehi1	Stehi1_AssemblyScaffolds.fasta.gz	Stehi1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,russulales,stereaceae,stereum,stereum hirsutum,stereum hirsutum fp-91666 ss1"
Conpu1	Conpu1	741705	Coniophora puteana v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Conpu1	Conpu1_AssemblyScaffolds.fasta.gz	Conpu1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,boletales,coniophorineae,coniophoraceae,coniophora,coniophora puteana,coniophora puteana rwd-64-598 ss2"
Dicsq1	Dicsq1	114155	Dichomitus squalens LYAD-421 SS1 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Dicsq1	Dicsq1_AssemblyScaffolds.fasta.gz	Dicsq1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,polyporaceae,dichomitus,dichomitus squalens"
Trave1	Trave1	717944	Trametes versicolor v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Trave1	Trave1_AssemblyScaffolds.fasta.gz	Trave1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,polyporaceae,trametes,trametes versicolor,trametes versicolor fp-101664 ss1"
Fomme1	Fomme1	208960	Fomitiporia mediterranea v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Fomme1	Fomme1_AssemblyScaffolds.fasta.gz	Fomme1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,hymenochaetales,hymenochaetaceae,fomitiporia,fomitiporia mediterranea"
Aspac1	Aspac1	5053	Aspergillus aculeatus ATCC16872 v1.1	ASCOMYCOTA/PEZIZOMYCOTINA/EUROTIOMYCETES/Aspac1	Aspac1_scaffolds.fasta.gz	Aspac1_FilteredModels6_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,eurotiomycetes,eurotiomycetidae,eurotiales,aspergillaceae,aspergillus,aspergillus subgen. circumdati,aspergillus aculeatus"
Aspnid1	Aspnid1	162425	Aspergillus nidulans	ASCOMYCOTA/PEZIZOMYCOTINA/EUROTIOMYCETES/Aspnid1	Aspnid1_AssemblyScaffolds.fasta.gz	Aspnid1_GeneCatalog_genes_20110130.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,eurotiomycetes,eurotiomycetidae,eurotiales,aspergillaceae,aspergillus,aspergillus subgen. nidulantes,aspergillus nidulans"
Thite2	Thite2	2587410	Thielavia terrestris v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Thite2	Thite2_AssemblyScaffolds.fasta.gz	Thite2_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,sordariales,chaetomiaceae,thermothielavioides,thermothielavioides terrestris"
Spoth2	Spoth2	573729	Myceliophthora thermophila (Sporotrichum thermophile) v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Spoth2	Spoth2_AssemblyScaffolds.fasta.gz	Spoth2_FilteredModels2_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,sordariomycetidae,sordariales,chaetomiaceae,thermothelomyces,thermothelomyces thermophilus,thermothelomyces thermophilus atcc 42464"
Lacbi2	Lacbi2	980499	Laccaria bicolor v2.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Lacbi2	Lacbi2_AssemblyScaffolds.fasta.gz	Lacbi2_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetidae,agaricales,tricholomataceae,laccaria,laccaria bicolor,laccaria bicolor n203"
Lepmu1	Lepmu1	985895	Leptosphaeria maculans	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Lepmu1	Lepmu1_AssemblyScaffolds.fasta.gz	Lepmu1_GeneCatalog_genes_20110301.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,pleosporomycetidae,pleosporales,pleosporineae,leptosphaeriaceae,leptosphaeria,leptosphaeria maculans species complex,leptosphaeria maculans,leptosphaeria maculans 'brassicae' group,leptosphaeria maculans jn3"
Dacsp1	Dacsp1	1858805	Dacryopinax primogenitus DJM 731 SSP1 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/DACRYMYCETES/Dacsp1	Dacsp1_AssemblyScaffolds.fasta.gz	Dacsp1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,dacrymycetes,dacrymycetales,dacrymycetaceae,dacryopinax,dacryopinax primogenitus"
Pyrtt1	Pyrtt1	861557	Pyrenophora teres f. teres	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Pyrtt1	Pyrtt1_AssemblyScaffolds.fasta.gz	Pyrtt1_GeneCatalog_genes_20110408.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,pleosporomycetidae,pleosporales,pleosporineae,pleosporaceae,pyrenophora,pyrenophora teres,pyrenophora teres f. teres,pyrenophora teres f. teres 0-1"
Gansp1	Gansp1	767862	Ganoderma sp. 10597 SS1 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Gansp1	Gansp1_AssemblyScaffolds.fasta.gz	Gansp1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,polyporaceae,ganoderma,unclassified ganoderma,ganoderma sp. 10597 ss1"
Phlbr1	Phlbr1	194682	Phlebia brevispora HHB-7030 SS6 v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Phlbr1	Phlbr1_AssemblyScaffolds.fasta.gz	Phlbr1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,meruliaceae,phlebia,phlebia brevispora"
Wican1	Wican1	4927	Wickerhamomyces anomalus NRRL Y-366-8 v1.0	ASCOMYCOTA/SACCHAROMYCOTINA/Wican1	Wican1_AssemblyScaffolds.fasta.gz	Wican1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,saccharomycotina,saccharomycetes,saccharomycetales,phaffomycetaceae,wickerhamomyces,wickerhamomyces anomalus"
Eurhe1	Eurhe1	396024	Eurotium rubrum v1.0	ASCOMYCOTA/PEZIZOMYCOTINA/EUROTIOMYCETES/Eurhe1	Eurhe1_AssemblyScaffolds.fasta.gz	Eurhe1_FilteredModels1_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,eurotiomycetes,eurotiomycetidae,eurotiales,aspergillaceae,aspergillus,aspergillus ruber"
Pacta1_2	Pacta1_2	4918	Pachysolen tannophilus NRRL Y-2460 v1.2	ASCOMYCOTA/SACCHAROMYCOTINA/Pacta1_2	Pacta1_2_AssemblyScaffolds.fasta.gz	Pacta1_2.filtered_proteins.Filteredmodels2.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,saccharomycotina,saccharomycetes,saccharomycetales,saccharomycetaceae,pachysolen,pachysolen tannophilus"
Phaca1	Phaca1	231932	Phanerochaete carnosa HHB-10118-Sp v1.0	DIKARYA/BASIDIOMYCOTA/AGARICOMYCOTINA/AGARICOMYCETES/Phaca1	Phaca1_AssemblyScaffolds.fasta.gz	Phaca1_FilteredModels4_deflines.gff3.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,basidiomycota,agaricomycotina,agaricomycetes,agaricomycetes incertae sedis,polyporales,phanerochaetaceae,phanerochaete,phanerochaete carnosa"
Stano2	Stano2	321614	Stagonospora nodorum SN15 v2.0	ASCOMYCOTA/PEZIZOMYCOTINA/DOTHIDEOMYCETES/Stano2	Stano2_AssemblyScaffolds.fasta.gz	Stano2_GeneCatalog_genes_20110506.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,dothideomyceta,dothideomycetes,pleosporomycetidae,pleosporales,pleosporineae,phaeosphaeriaceae,parastagonospora,parastagonospora nodorum,parastagonospora nodorum sn15"
Verda1	Verda1	27337	Verticillium dahliae VdLs.17	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Verda1	Verda1_AssemblyScaffolds.fasta.gz	Verda1_GeneCatalog_genes_20110524.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,glomerellales,plectosphaerellaceae,verticillium,verticillium dahliae"
Fusgr1	Fusgr1	5518	Fusarium graminearum v1.0	ASCOMYCOTA/PEZIZOMYCOTINA/SORDARIOMYCETES/Fusgr1	Fusgr1_AssemblyScaffolds.fasta.gz	Fusgr1_GeneCatalog_genes_20110524.gff.gz	"root,cellular organisms,eukaryota,opisthokonta,fungi,dikarya,ascomycota,saccharomyceta,pezizomycotina,leotiomyceta,sordariomyceta,sordariomycetes,hypocreomycetidae,hypocreales,nectriaceae,fusarium,fusarium sambucinum species complex,fusarium graminearum"
