##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
58,"Acidomyces richmondensis BFW",Aciri1_meta,245562,26819972,10352,Y,Y,N,,"Mosier AC et al.,N/D","26973616"
59,"Acidomyces richmondensis BFW",Aciri1_iso,245562,29883570,11202,Y,Y,N,,"Mosier AC et al.,N/D","26973616"
60,"Acremonium alcalophilum v2.0",Acral2,591952,54417234,9521,Y,N,N,,,
61,"Bjerkandera adusta v1.0",Bjead1_1,5331,42730300,15473,Y,Y,N,,"Binder M et al.,2013","23935031"
62,"Phlebiopsis gigantea v1.0",Phlgi1,82310,30143925,11891,Y,Y,N,,"Hori C et al.,2014","25474575"
63,"Tortispora caseinolytica Y-17796 v1.0",Canca1,767744,9180161,4657,Y,Y,N,,"Riley R et al.,2016","27535936"
64,"Lipomyces starkeyi NRRL Y-11557 v1.0",Lipst1_1,675824,21267709,8192,Y,Y,N,,"Riley R et al.,2016","27535936"
65,"Baudoinia compniacensis UAMH 10762 (4089826) v1.0",Bauco1,717646,21876451,10513,Y,Y,N,,"Ohm RA et al.,N/D","23236275"
66,"Trichoderma reesei RUT C-30 v1.0",TrireRUTC30_1,51453,32689233,9852,Y,Y,N,,"Jourdier E et al.,N/D","28616075"
67,"Cochliobolus sativus ND90Pr v1.0",Cocsa1,665912,34417436,12250,Y,Y,N,,"Ohm RA et al.,N/D~Condon BJ et al.,N/D","23236275 23357949"
68,"Paxillus involutus ATCC 200175 v1.0",Paxin1,71150,58301126,17968,Y,Y,N,,"Kohler A et al.,2015","25706625"
69,"Oidiodendron maius Zn v1.0",Oidma1,913774,46426256,16703,Y,Y,N,,"Kohler A et al.,2015~Martino E et al.,2018","25706625 29315638"
70,"Jaapia argillacea v1.0",Jaaar1,202697,45045919,16419,Y,Y,N,,"Riley R et al.,2014","24958869"
71,"Gymnopus luxurians v1.0",Gymlu1,944289,66281680,22057,Y,Y,N,,"Kohler A et al.,2015","25706625"
72,"Botryobasidium botryosum v1.0",Botbo1,264124,46674321,16526,Y,Y,N,,"Riley R et al.,2014","24958869"
73,"Hypholoma sublateritium v1.0",Hypsu1,945553,48031814,17911,Y,Y,N,,"Kohler A et al.,2015","25706625"
74,"Serpula lacrymans S7.9 v2.0",SerlaS7_9_2,578457,42734799,12789,Y,Y,N,,"Eastwood DC et al.,2011","21764756"
75,"Nadsonia fulvescens var. elongata DSM 6958 v1.0",Nadfu1,45786,13746944,5657,Y,Y,N,,"Riley R et al.,2016","27535936"
76,"Coemansia reversa NRRL 1564 v1.0",Coere1,61392,21838014,7347,Y,Y,N,,"Chang Y et al.,2015","25977457"
77,"Saitoella complicata NRRL Y-17804 v1.0",Saico1,5606,14136186,7034,Y,Y,N,,"Riley R et al.,2016","27535936"
78,"Cochliobolus heterostrophus C4 v1.0",CocheC4_1,5016,32929167,12720,Y,Y,N,,"Ohm RA et al.,N/D~Condon BJ et al.,N/D","23236275 23357949"
79,"Cochliobolus heterostrophus C5 v2.0",CocheC5_3,701091,36456735,13336,Y,Y,N,,"Ohm RA et al.,N/D~Condon BJ et al.,N/D","23236275 23357949"
80,"Serpula himantioides (S.lacrymans var shastensis) MUCL38935 v1.0",Serla_varsha1,690234,45978785,13805,Y,Y,N,,"Balasundaram SV et al.,2018","29305577"
81,"Plicaturopsis crispa v1.0",Plicr1,944288,34498416,13626,Y,Y,N,,"Kohler A et al.,2015","25706625"
82,"Pichia membranifaciens v2.0",Picme2,4926,11584685,5546,Y,Y,N,,"Riley R et al.,2016","27535936"
83,"Cercospora zeae-maydis v1.0",Cerzm1,717836,46606380,12020,Y,Y,N,,"Haridas S et al.,2020","32206138"
84,"Piromyces sp. E2 v1.0",PirE2_1,73868,71019055,14648,Y,Y,N,,"Haitjema CH et al.,2017","28555641"
85,"Candida arabinofermentans NRRL YB-2248 v1.0",Canar1,130810,13234078,5861,Y,Y,N,,"Riley R et al.,2016","27535936"
86,"Postia placenta MAD-698-R-SB12 v1.0",PosplRSB12_1,670580,42453726,12541,Y,Y,N,,"Gaskell J et al.,2017","28831381"
87,"Ascoidea rubescens NRRL Y17699 v1.0",Ascru1,54195,17503998,6802,Y,Y,N,,"Riley R et al.,2016","27535936"
88,"Gonapodya prolifera v1.0",Ganpr1,1123529,48794828,13902,Y,Y,N,,"Chang Y et al.,2015","25977457"
89,"Galerina marginata v1.0",Galma1,685588,59418196,21461,Y,Y,N,,"Riley R et al.,2014","24958869"
90,"Amorphotheca resinae v1.0",Amore1,5101,28632928,9642,Y,Y,N,,"Martino E et al.,2018","29315638"
91,"Cryptococcus neoformans var neoformans JEC21",Cryne_JEC21_1,214684,19051922,6475,Y,Y,N,,"Loftus BJ et al.,2005","15653466"
92,"Penicillium chrysogenum v1.0",Pench1,1353254,31340922,11396,Y,Y,N,,"de Vries RP et al.,2017","28196534"
93,"Mixia osmundae IAM 14324 v1.0",Mixos1,34349,13634488,6903,Y,Y,N,,"Toome M et al.,2014","24372469"
94,"Babjeviella inositovora NRRL Y-12698 v1.0",Babin1,45609,15221050,6403,Y,Y,N,,"Riley R et al.,2016","27535936"
95,"Conidiobolus coronatus NRRL28638 v1.0",Conco1,34488,39903661,10635,Y,Y,N,,"Chang Y et al.,2015","25977457"
96,"Candida tanzawaensis NRRL Y-17324  v1.0",Canta1,984487,13136204,5895,Y,Y,N,,"Riley R et al.,2016","27535936"
97,"Trichoderma harzianum CBS 226.95 v1.0",Triha1,5544,40980678,14095,Y,Y,N,,"Druzhinina IS et al.,2018","29630596"
98,"Trichoderma asperellum CBS 433.97 v1.0",Trias1,101201,37464610,12586,Y,Y,N,,"Druzhinina IS et al.,2018","29630596"
99,"Metschnikowia bicuspidata NRRL YB-4993 v1.0",Metbi1,27322,16055203,5851,Y,Y,N,,"Riley R et al.,2016","27535936"
100,"Hyphopichia burtonii NRRL Y-1933 v1.0",Hypbu1,717740,12403110,6002,Y,Y,N,,"Riley R et al.,2016","27535936"
101,"Piloderma olivaceum F 1598 v1.0",Pilcr1,80663,59326866,21583,Y,Y,N,,"Kohler A et al.,2015","25706625"
102,"Sphaerobolus stellatus v1.0",Sphst1,68786,176372157,35274,Y,Y,N,,"Kohler A et al.,2015","25706625"
103,"Hydnomerulius pinastri v2.0",Hydpi2,994086,38278792,13270,Y,Y,N,,"Kohler A et al.,2015","25706625"
104,"Dekkera bruxellensis CBS 2499 v2.0",Dekbr2,747657,13385232,5636,Y,Y,N,,"Pi?kur J et al.,2012","22663979"
105,"Hanseniaspora valbyensis NRRL Y-1626 v1.1",Hanva1_1,53685,11464179,4800,Y,Y,N,,"Riley R et al.,2016","27535936"
106,"Aureobasidium pullulans var. subglaciale EXF-2481",Aurpu_var_sub1,1043005,25796716,10809,Y,Y,N,,"Gostin?ar C et al.,2014","24984952"
107,"Cochliobolus victoriae FI3 v1.0",Cocvi1,930091,32829575,12894,Y,Y,N,,"Condon BJ et al.,N/D","23357949"
108,"Cochliobolus carbonum 26-R-13 v1.0",Cocca1,930089,31267936,12857,Y,Y,N,,"Condon BJ et al.,N/D","23357949"
109,"Cochliobolus miyabeanus ATCC 44560 v1.0",Cocmi1,930090,31362097,12007,Y,Y,N,,"Condon BJ et al.,N/D","23357949"
110,"Aspergillus brasiliensis v1.0",Aspbr1,767769,35808783,13000,Y,Y,N,,"de Vries RP et al.,2017","28196534"
111,"Aspergillus luchuensis CBS 106.47 v1.0",Aspfo1,1137211,37468345,13530,Y,Y,N,,"de Vries RP et al.,2017","28196534"
112,"Cochliobolus lunatus m118 v2.0",Coclu2,977863,31171894,12131,Y,Y,N,,"Condon BJ et al.,N/D","23357949"
113,"Cronartium quercuum f. sp. fusiforme G11 v1.0",Croqu1,708437,76567842,13903,Y,Y,N,,"Pendleton AL et al.,N/D","25018762"
114,"Aspergillus sydowii CBS 593.65 v1.0",Aspsy1,1036612,34381026,13620,Y,Y,N,,"de Vries RP et al.,2017","28196534"
115,"Aspergillus versicolor v1.0",Aspve1,1036611,33126810,13228,Y,Y,N,,"de Vries RP et al.,2017","28196534"
116,"Sebacina vermifera MAFF 305830 v1.0",Sebve1,109899,38094242,15312,Y,Y,N,,"Kohler A et al.,2015","25706625"
117,"Piriformospora indica DSM 11827 from MPI",Pirin1,1109443,24979981,11767,Y,Y,N,,"Zuccaro A et al.,2011","22022265"
118,"Scleroderma citrinum Foug A v1.0",Sclci1,68788,56144862,21012,Y,Y,N,,"Kohler A et al.,2015","25706625"
119,"Tulasnella calospora AL13/4D v1.0",Tulca1,156515,62392858,19659,Y,Y,N,,"Kohler A et al.,2015","25706625"
120,"Amanita thiersii Skay4041 v1.0",Amath1,703135,33689220,10354,Y,Y,N,,"Hess J et al.,2014~Chaib De Mares M et al.,2015","24923322 25407899"
121,"Hypoxylon sp. CI-4A v1.0",HypCI4A_1,1001833,37704138,11712,Y,Y,N,,"Wu W et al.,2017","28078400"
122,"Daldinia eschscholtzii EC12 v1.0",DalEC12_1,1001832,37551009,11173,Y,Y,N,,"Wu W et al.,2017","28078400"
123,"Hypoxylon sp. CO27-5 v1.0",HypCO275_1,1001938,46585682,12256,Y,Y,N,,"Wu W et al.,2017","28078400"
124,"Fomitopsis pinicola FP-58527 SS1 v3.0",Fompi3,40483,41614358,13885,Y,Y,N,,"Floudas D et al.,2012","22745431"
125,"Amanita muscaria Koide v1.0",Amamu1,41956,40699759,18153,Y,Y,N,,"Kohler A et al.,2015","25706625"
126,"Zasmidium cellare ATCC 36951 v1.0",Zasce1,1080233,38247703,16015,Y,Y,N,,"Haridas S et al.,2020","32206138"
127,"Apiospora montagnei NRRL 25634 v1.0",Apimo1,335852,47671174,16992,Y,N,N,,,
128,"Cladosporium fulvum v1.0",Clafu1,5499,61113266,14127,Y,Y,N,,"de Wit PJ et al.,N/D~Ohm RA et al.,N/D","23209441 23236275"
129,"Aspergillus tubingensis v1.0",Asptu1,767770,35146149,12322,Y,Y,N,,"de Vries RP et al.,2017","28196534"
130,"Aspergillus wentii v1.0",Aspwe1,1073089,31350635,12442,Y,Y,N,,"de Vries RP et al.,2017","28196534"
131,"Didymella exigua CBS 183.55 v1.0",Didex1,1150837,34389227,12394,Y,Y,N,,"Haridas S et al.,2020","32206138"
132,"Hebeloma cylindrosporum h7 v2.0",Hebcy2,76867,38226047,15382,Y,Y,N,,"Kohler A et al.,2015~Doré J et al.,2015~Doré J et al.,2017","25706625 26171947 28076886"
133,"Aspergillus glaucus v1.0",Aspgl1,1160497,27993362,11277,Y,Y,N,,"de Vries RP et al.,2017","28196534"
134,"Aspergillus zonatus v1.0",Aspzo1,1073090,28924210,9886,Y,Y,N,,"de Vries RP et al.,2017","28196534"
135,"Glomerella cingulata 23 (Colletotrichum gloeosporioides 23) v1.0",Gloci1,474922,58838139,18975,Y,N,N,,,
136,"Melanconium sp. NRRL 54901 v1.0",Melsp1,1155946,58516921,16656,Y,N,N,,,
137,"Neosartorya fischeri NRRL 181",Neofi1,331117,32551711,10406,Y,Y,N,,"Arnaud MB et al.,2012~Lonial S et al.,1997","22080559 9156256"
138,"Aspergillus terreus NIH 2624",Aspte1,341663,29331195,10406,Y,Y,N,,"Arnaud MB et al.,2012","22080559"
139,"Aspergillus oryzae RIB40",Aspor1,510516,37882812,12030,Y,Y,N,,"Arnaud MB et al.,2012~Machida M et al.,2005","22080559 16372010"
140,"Aspergillus fumigatus Af293 from AspGD",Aspfu1,330879,29388377,9781,Y,Y,N,,"Nierman WC et al.,2005","16372009"
141,"Cyberlindnera jadinii NRRL Y-1542 v1.0",Cybja1,4903,13018415,6038,Y,Y,N,,"Riley R et al.,2016","27535936"
142,"Ascobolus immersus RN42 v1.0",Ascim1,5191,59529874,17877,Y,Y,N,,"Murat C et al.,2018","30420746"
143,"Symbiotaphrina kochii v1.0",Symko1,983144,24834845,10482,Y,N,N,,,
144,"Umbelopsis ramanniana AG v1.0",Umbra1,41833,23077072,9931,Y,N,N,,,
145,"Myriangium duriaei CBS 260.36 v1.0",Myrdu1,147570,25685045,10685,Y,Y,N,,"Haridas S et al.,2020","32206138"
146,"Glomerella acutata (Colletotrichum fioriniae MH 18) v1.0",Gloac1,710243,50035977,15777,Y,N,N,,,
147,"Monascus ruber NRRL 1597 v1.0",Monru1,1155947,24798814,9650,Y,N,N,,,
148,"Aplosporella prunicola CBS 121.167 v1.0",Aplpr1,462254,32818685,12579,Y,Y,N,,"Haridas S et al.,2020","32206138"
149,"Ilyonectria europaea PMI82 v1.0",Ilysp1,1079114,63663791,22250,Y,Y,N,,"Liao HL et al.,2019","30699306"
150,"Aspergillus clavatus NRRL 1 from AspGD",Aspcl1,344612,27859441,9121,Y,Y,N,,"Arnaud MB et al.,2012","22080559"
151,"Aspergillus flavus NRRL3357",Aspfl1,332952,36790245,12604,Y,Y,N,,"Arnaud MB et al.,2012","22080559"
152,"Schizosaccharomyces pombe",Schpo1,4896,12611948,5134,Y,Y,N,,"Wood V et al.,2002~Wood V et al.,2012","11859360 22039153"
153,"Yarrowia lipolytica (strain CLIB122)",Yarli1,284591,20502981,6447,Y,Y,N,,"Dujon B et al.,2004","15229592"
154,"Cucurbitaria berberidis CBS 394.84 v1.0",Cucbe1,45142,32905402,12439,Y,Y,N,,"Haridas S et al.,2020","32206138"
155,"Sclerotinia sclerotiorum v1.0",Sclsc1,665079,38330212,14503,Y,Y,N,,"Amselem J et al.,2011","21876677"
156,"Dioszegia cryoxerica v1.0",Diocr1,603311,39520995,15948,Y,N,N,,,
157,"Saccharomyces cerevisiae M3838 v1.0",SacceM3838_1,1162673,11571570,5991,Y,Y,N,,"Brown SD et al.,2013","23792743"
158,"Saccharomyces cerevisiae M3837 v1.0",SacceM3837_1,1162672,11530290,5969,Y,Y,N,,"Brown SD et al.,2013","23792743"
159,"Saccharomyces cerevisiae M3707 Dikaryon",SacceM3707_1,1149757,11509707,5974,Y,Y,N,,"Brown SD et al.,2013","23792743"
160,"Saccharomyces cerevisiae M3839 v1.0",SacceM3839_1,1162674,11550170,5989,Y,Y,N,,"Brown SD et al.,2013","23792743"
161,"Saccharomyces cerevisiae M3836 v1.0",SacceM3836_1,1162671,11532651,5984,Y,Y,N,,"Brown SD et al.,2013","23792743"
162,"Naganishia vishniacii ANT03-052 v1.0",Cryvi1,89929,19691496,7232,Y,Y,N,,"Nizovoy P et al.,2021","33232451"
163,"Daedalea quercina v1.0",Daequ1,1314783,32736329,12199,Y,Y,N,,"Nagy LG et al.,2016","26659563"
164,"Lentithecium fluviatile v1.0",Lenfl1,690899,54688705,16742,Y,Y,N,,"Haridas S et al.,2020","32206138"
165,"Fistulina hepatica v1.0",Fishe1,1128425,33847808,11244,Y,Y,N,,"Floudas D et al.,2015","25683379"
166,"Meliniomyces variabilis F v1.0",Melva1,1149755,55857776,20389,Y,Y,N,,"Martino E et al.,2018","29315638"
167,"Cerrena unicolor v1.1",Cerun2,1142151,36004620,12966,Y,N,N,,,
168,"Neolentinus lepideus v1.0",Neole1,1314782,35640188,13164,Y,Y,N,,"Nagy LG et al.,2016","26659563"
169,"Laetiporus sulphureus var. sulphureus v1.0",Laesu1,5630,39916888,13774,Y,Y,N,,"Nagy LG et al.,2016","26659563"
170,"Polyporus arcularius v1.0",Polar1,1314778,43452342,17525,Y,Y,N,,"Varga T et al.,2019","30886374"
171,"Pycnoporus coccineus CIRM-BRFM 310 v1.0",Pycco1,158605,32757930,12690,Y,Y,N,,"Miyauchi S et al.,2020","32531032"
172,"Pichia pastoris",Picpa1,644223,9216378,5040,Y,Y,N,,"De Schutter K et al.,2009","19465926"
173,"Debaryomyces hansenii",Debha1,284592,12152486,6272,Y,Y,N,,"Sacerdot C et al.,2008~Dujon B et al.,2004","18673395 15229592"
174,"Kluyveromyces lactis",Klula1,284590,10689156,5076,Y,Y,N,,"Dujon B et al.,2004","15229592"
175,"Aureobasidium pullulans var. pullulans EXF-150",Aurpu_var_pul1,5580,29621078,11866,Y,Y,N,,"Gostin?ar C et al.,2014","24984952"
176,"Sistotremastrum suecicum v1.0",Sissu1,467971,33857913,13657,Y,Y,N,,"Nagy LG et al.,2016","26659563"
177,"Tricholoma matsutake 945 v3.0",Trima3,40145,175759688,22885,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
178,"Meliniomyces bicolor E v2.0",Melbi2,2482752,82384847,18619,Y,Y,N,,"Martino E et al.,2018","29315638"
179,"Lepidopterella palustris v1.0",Leppa1,741139,45668136,13870,Y,Y,N,,"Peter M et al.,2016","27601008"
180,"Polychaeton citri v1.0",Polci1,705562,27207581,10582,Y,Y,N,,"Haridas S et al.,2020","32206138"
181,"Cenococcum geophilum 1.58 v2.0",Cenge3,794803,177557160,14748,Y,Y,N,,"Peter M et al.,2016","27601008"
182,"Neurospora crassa OR74A v2.0",Neucr2,367110,41037538,10785,Y,Y,N,,"Galagan JE et al.,2003","12712197"
183,"Aulographum hederae v2.0",Aulhe2,1176130,31983478,12127,Y,Y,N,,"Haridas S et al.,2020","32206138"
184,"Omphalotus olearius",Ompol1,1128401,28145093,8171,Y,Y,N,,"Wawrzyn GT et al.,2012","22726691"
185,"Aspergillus niger CBS 513.88",Aspni_DSM_1,425011,33975768,14097,Y,Y,N,,"Pel HJ et al.,2007","17259976"
186,"Cylindrobasidium torrendii FP15055 v1.0",Cylto1,394432,31574086,13940,Y,Y,N,,"Floudas D et al.,2015","25683379"
187,"Peniophora sp. v1.0",Ricme1,40463,46030792,18952,Y,Y,N,,"Nagy LG et al.,2016","26659563"
188,"Melanomma pulvis-pyrius v1.0",Melpu1,100047,42094923,15881,Y,Y,N,,"Haridas S et al.,2020","32206138"
189,"Aureobasidium pullulans var. melanogenum CBS 110374",Aurpu_var_mel1,1043003,26203324,10594,Y,Y,N,,"Gostin?ar C et al.,2014","24984952"
190,"Aureobasidium pullulans var. namibiae CBS 147.97",Aurpu_var_nam1,1043004,25428601,10266,Y,Y,N,,"Gostin?ar C et al.,2014","24984952"
191,"Antrodia sinuosa LB1 v1.0",Antsi1,1333626,30168058,11327,Y,N,N,,,
192,"Pneumocystis jirovecii",Pneji1,42068,8152515,3520,Y,Y,N,,"Cissé OH et al.,2012","23269827"
193,"Taphrina deformans",Tapde1_1,1097556,13364053,4609,Y,Y,N,,"Cissé OH et al.,2013","23631913"
194,"Lindra thalassiae JK4322 v1.0",Linth1,45816,31924598,8029,Y,N,N,,,
195,"Lichtheimia hyalospora v1.0",Lichy1,420593,33282407,12062,Y,N,N,,,
196,"Patellaria atrata v1.0",Patat1,1346257,28693344,9794,Y,Y,N,,"Haridas S et al.,2020","32206138"
197,"Volvariella volvacea V23",Volvo1,706473,35720033,11084,Y,Y,N,,"Bao D et al.,N/D","23526973"
198,"Rhizophagus irregularis DAOM 181602 v1.0",Gloin1,747089,91083792,30282,Y,Y,N,,"Tisserant E et al.,2013","24277808"
199,"Penicillium glabrum DAOM 239074 v1.0",Pengl1,69773,33163077,12328,Y,N,N,,,
200,"Penicillium fellutanum ATCC 48694 v1.0",Penfe1,70095,30197732,11300,Y,N,N,,,
201,"Penicillium lanosocoeruleum ATCC 48919 v1.0",Penla1,1346256,29053594,10698,Y,N,N,,,
202,"Coprinopsis cinerea AmutBmut pab1-1 v1.0",Copci_AmutBmut1,1132390,34118803,,Y,Y,N,,"Muraguchi H et al.,N/D","26510163"
203,"Calocera cornea v1.0",Calco1,1353952,33244933,13177,Y,Y,N,,"Nagy LG et al.,2016","26659563"
204,"Penicillium expansum ATCC 24692 v1.0",Penex1,27334,32451619,11807,Y,N,N,,,
205,"Trichaptum abietinum v1.0",Triab1_1,1356356,40609032,14978,Y,N,N,,,
206,"Penicillium canescens ATCC 10419 v1.0",Penca1,5083,33260822,12374,Y,N,N,,,
207,"Penicillium bilaiae ATCC 20851 v1.0",Penbi1,69765,37537715,13606,Y,N,N,,,
