,abr2_abr1_1,abr2_abr1_2,abr2_abr1_3,abr2_abr2_1,abr2_abr2_2,abr2_cladeA,abr2_cladeB,ayg1_1,ayg1_2,ayg1_3,ayg1_cladeA,ayg1_outgroup,ayg1_yg1,pks1_4thn_1,pks1_4thn_2,pks1_athn_1,pks1_athn_2,pks1_ywa1,rdt1_3hnr,rdt1_4hnr_1,rdt1_4hnr_2,rdt1_4hnr_3,rdt1_4hnr_4,rdt1_arp2,rdt1_cladeA,rdt1_cladeB,rdt1_outgroup,rdt1_remaining,scd1_arp1,scd1_cladeA,scd1_cladeB,scd1_cladeC,scd1_outgroup
Plecto1,,,,,,,,,,,607333,,,184505,,,,,613870,690398,,,,,,,,,,,,,
XylFL0016,,,,,415624,,,228169,,,415950,,,16544,,,,,57819,16725,,,,,,,,,,,,,
XyFL0804_2,,,,,,,,665994,,,669778,,,606492,,,,,663799,667415,,,,,,,,,,,,,
XylFL2044,,,,,779396,,,244146,,,419212,,,169879,,,,,745256,170135,,,,,,,,,,,,,
XyFL0641_1,,,,,66283,,,792330,,,523086,,,754541,,,,,737046,576910,,,,,,,,,,,,,
Xyllon1,,,,,,,,363282,,,528883,,,117228,,,,,47003,117364,,,,,,,,,,,,"525760,584943",
XylFL1651,,,,,,,,463352,,,418230,,,251348,,,,,407091,471002,,,,,,,,,,,,480091,
Xy124048_1,,,,,,,,591952,,,521055,,,691278,,,,,469630,698483,,,,,,,,,,,,,
Xylint1,,,,,,,,492045,,,545976,,,253426,,,,,311936,253355,,,,,,,,,,,,,
XylFL0594,,,,,,,,468894,,,466103,,,197508,,,,,293338,423534,,,,,,,,,,,,,
Podjug1,,,,,,,,151872,,,578325,,,201501,,,,,255303,590373,,,,,,,,,,,,,
Anttom1,,,,,323649,,,389976,,,362033,,,369725,,,,,352404,,,,,,,,,,,,,,
Antleu1,,,,,434044,,,422171,,,208638,,,285990,,,,,318748,419744,,,,,,,,,,,,,
Antav1,,,,,444254,,,486833,,,513517,,,488433,,,,,363791,,,,,,,,,,,,,,
XyAK1471_1,,,,,308925,,,389550,,,166211,,,536285,,,,,507631,523286,,,,,,,,,,,,,
Roscor1,,,,,317636,,,315616,,,279498,,,151552,,,,,268209,151639,,,,,,,,,,,,,
Entma1,,,,,245052,,,410083,,,354859,,,379919,,,,,251763,355364,,,,,,,,,,,,,
Xylgra1,,,,,,,,68526,,,360310,,,260077,,,,,143156,378099,,,,,,,,,,,,,
Xyldig1,,,,,,,,297149,,,451035,,,501505,,,,,457773,513289,,,,,,,,,,,,473350,
Xylhyp1,,,,,,,,58691,,,611608,,,565755,,,,,465349,553926,,,,,,,,,,,,,
XyFL1777_1,,,,,,,,597342,,,713149,,,469736,,,,,576134,753811,,,,,,,,,,,,,
XylarbFL1030,,,,,354692,,,125063,,,204608,,,134010,,,,,300562,253146,,,,,,,,,,,,,
Xylbam139988_1,,,,,602743,,,652296,,,571130,,,229192,,,,,179413,610646,,,,,,,,,,,,,
KdCBS826_1,,,,,,,,55357,,,580931,,,220293,,,,,224227,220356,,,,,,,,,,,,,
Kredeu1,,,,,,,,187865,,,484382,,,495155,,,,,277226,194064,,,,,,,,,,,,,
Xylven1,,,,,388030,,,309301,,,378954,,,396731,,,,,172969,217257,,,,,,,,,,,,,
Xylarb124340_1,,,,,459301,,,287803,,,147685,,,458863,,,,,429071,458861,,,,,,,,,,,,62440,
XylFL1042,,,,,212704,,,320655,,,316950,,,337745,,,,,284926,357116,,,,,,,,,,,,,
XyFL0064_1,,,,,501016,,,296080,,,549650,,,640057,,,,,684964,688075,,,,,,,,,,,,,
XylFL0933,,,,,382544,,,140335,,,408601,,,332807,,,,,88892,332210,,,,,,,,,,,,,
XylFL0043,,,,,329844,,,35093,,,317963,,,199723,,,,,303622,311092,,,,,,,,,,,,,
Hyparg1,,,,,,,,431897,,,491308,,,279589,,,,,492594,486819,,,,,,,,,,,,,
Nemdif1,,,,,,,,183989,,,472643,,,139107,,,,,462260,445958,,,,,,,,,,,,,
NsCB679_1,,,,,662627,,,295334,,,648645,,,401770,,,,,323285,601270,,,,,,,,,,,,635893,
NsAZ0576_1,,,,,,,,341363,,,345424,,,114089,,,,,137488,114132,,,,,,,,,,,,324130,
Nemani1,,,,,,,,74754,,,457817,,,47714,,,,,4216,47774,,,,,,,,,,,,"407067,418880",
NsAK0226_1,,,,,,,,445261,,,449373,,,52347,,,,,251313,446369,,,,,,,,,,,,,
Bisma1,,,,,72641,,,172541,,,416100,,,224595,,,,,420278,409637,,,,,,,,,,,,,
Bisnum1,,,,,473114,,,214167,,,577214,,,634798,,,,,461603,634801,,,,,,,,,,,,,
CtCBS203_1,,,,,713391,,,130776,,,714432,,,710868,,,,,482038,224797,,,,,,,,,,,,,
Bisme1,,,,,579891,,,620768,,,679805,,,371718,,,,,633651,372500,,,,,,,,,,,,,
Biscog1,,,,,574868,,,591318,,,597248,,,257952,,,,,273640,257735,,,,,,,,,,,,,
Bismed1,,,,,663130,,,502409,,,623437,,,19844,,,,,453417,20312,,,,,,,,,,,,,
Whamic1,,,,576419,,,,592563,,,308467,,,579235,,,,,597146,535857,,,,,,,,,,,,,
XylFL0662B,,,,618298,,,,308198,,,631414,,,617135,,,,,586646,617132,,,,,,,,,,,,,
HyFL1284_2,,,,,,,,430097,,,580724,,,123095,,,,,363815,559822,,,,,,,,,,,,,
Hypfus1,,,,,,,,59526,,,251219,,,330653,,,,,487835,330817,,,,,,,,,,,,,
Hypcer1,,,,,,,,228688,,,457426,,,404528,,,,,168866,282466,,,,,,,,,,,,,
HypCI4A_1,,,,,,,,77092,,,263842,,,7268,,,,,122267,70993,,,27707,,,,,,,,,,
Hyprub1,,,,,,,,249890,,,258208,,,428094,,,,,422470,459726,,,,,,,,,,,,,
HyFL1150_1,,,,,,,,255415,,,336755,,,364061,,,,,167021,531451,,,,,,,,,,,,,
HyprubER1909_1,,,,,,,,127817,,,117839,,,254209,,,,,168969,157009,,,,,,,,,,,,,
HyFL0890_1,,,,,304162,,,265416,,,260522,,,131909,,,,,181365,258135,,,,,,,,,,,,,
HyNC0597_1,,,,,,,,657407,,,7783,,,97135,,,,,660112,97645,,,644160,,,,,,,,,,
HypEC38_3,,,,,,,,407315,,,417088,,,428032,,,,,392885,361618,,,334180,,,,,,,,,,
HypCO275_1,,,,,,,,66816,,,389080,,,77834,,,,,399786,390350,,,27456,,,,,,,,,,
Annbov1,,,,,,,,166718,,,31252,,,154521,,,,,379556,429904,,,389445,,,,,,,,,,
Annmin1,,,,,,,,265975,,,106156,,,324636,,,,,296444,337976,,,,,,,,,,,,,
Annmor1,,,,,,,,71560,,,206876,,,6994,,,,,464712,7271,,,,,,,,,,,,,
Annmae1,,,,,,,,187610,,,185052,,,191995,,,,,149062,171923,,,,,,,,,,,,,
Anntru1,,,,,,,,385963,,,94958,,,435140,,,,,452032,452888,,,417537,,,,,,,,,,
AnFL0455,,,,,,,,345461,,,484791,,,314752,,,,,488755,314566,,,470174,,,,,,,,,,
Roster1,,,,,,,,428419,,,499955,,,494819,,,,,471781,494821,,,474770,,,,,,,,,,
Annsty1,,,,,,,,126236,,,391319,,,239260,,,,,407697,429540,,,386417,,,,,,,,,,
Annnit1,,,,,,,,118467,,,252881,,,432331,,,,,487724,432549,,,472551,,,,,,,,,,
Hypfra2,,,,,,,,430036,,,513947,,,523556,,,,,470124,515036,,,,,,,,,,,,,
Hypsub2,,,,,,,,320000,,,233400,,,379273,,,,,456414,379521,,,,,,,,,,,,,
Hypmon1,,,,,,,,194136,,,274176,,,78223,,,,,244911,78314,,,,,,,,,,,,,
Hypcro1,,,,,,,,449343,,,111858,,,448981,,,,,25168,456307,,,,,,,,,,,,,
Hyppol1,,,,,,,,501385,,,158529,,,426669,,,,,507649,426848,,,518595,,,,,,,,,,
HyNC1633_2,,,,,,,,299969,,,228920,,,540537,,,,,266848,654610,,,,,,,,,,,,,
HyFL1857_1,,,,,,,,183301,,,156471,,,129915,,,,,158266,177836,,,85809,,,,,,,,,,
HyFL0543_1,,,,,,,,414148,,,66220,,,232770,,,,,401802,232554,,,387585,,,,,,,,,,
DalEC12_1,,,,,,,,114856,,,313382,,,122334,,,,,321776,12348,,,7251,,,,,,,,,,
Dales1,,,,,,,,399602,,,313584,,,57276,,,,,219810,56981,,,364288,,,,,,,,,,
Dalba1,,,,,,,,306690,,,566645,,,570351,,,,,560343,236552,,,504049,,,,,,,,,,
Hyptru1,,,,,,,,106876,,,438041,,,427810,,,,,420580,398408,,,,,,,,,,,,,
Dalcal1,,,,,,,,2294,,,429653,,,459157,,,,,315528,459155,,,,,,,,,,,,,
Dalgra1,,,,,,,,105937,,,358002,,,453407,,,,,436892,433563,,,460056,,,,,,,,,,
Dallocu1,,,,,,,,202047,,,383660,,,388714,,,,,433004,388711,,,416548,,,,,,,,,,
DaFL1419_1,,,,,,,,273253,,,335123,,,75796,,,,,348560,338790,,,,,,,,,,,,,
Dalver1,,,,,,,,252032,,,130129,,,71778,,,,,250306,269658,,,270900,,,,,,,,,,
Daldec1,,,,,,,,39912,,,386371,,,9877,,,,,324052,10010,,,186961,,,,,,,,,,
Dalloc1,,,,,,,,29124,,,362944,,,328309,,,,,174685,278917,,,,,,,,,,,,,
DallocAZ0526_2,,,,,,,,496996,,,442345,,,449162,,,,,465087,339004,,,496522,,,,,,,,,,
Trepe1,,,,,492580,,,,158800,,,,542732,,162696,,,,163091,,,,423872,,,,,,,,,,
Pyrly1,,,,,576378,,,,323300,,,,473701,,405117,,,,519189,,,,511222,,,,,,,,,,
Pyrinf1,,,,,175158,,,,108506,,,,130394,,30168,,,,30289,,,,83342,,,,,,,,,,
Pyrsp1,,,,,316911,,,,234988,,,,579304,,197150,,,,197658,,,,592225,,,,,,,,,,
PlePMI138_1,,,,,,,,,348069,,,,295718,,347721,,,,63892,,,,343433,,,,,,,,,,
Ophdi1,,,,,378617,,,,371141,,,,373497,,466434,,,,455298,,,,95301,,,,,,,,,,
Lepmu1,,,11228,,,,,,,,,,8141,,3382,,,,3393,,,,2841,,,,,,,,,,
Photr1,,,497177,,,,,,150322,,,,425054,,70802,,,,449133,,,,434319,,,,,,,,,,
Cucbe1,,,,,336823,,,,,,,,296200,,290748,,,,291219,,,,88359,,,,,,,,,,
Setho1,,,,,103703,,,,,,,,66728,,62205,,,,62103,,,,68078,,,,,,,,,,
Epini1,,,,,318777,,,,472313,,,,165512,,,,,,469069,,,,398796,,,,,,,,,,
Ampqui1,,,,,533559,,,,,,,,585505,,525429,,,,464641,,,,446489,,,,,,,,,,
Didex1,,,,,345557,,,,,,,,417419,,61944,,,,420134,,,,65046,,,,,,,,,,
Lizem1,,92815,,,,,,,156227,,,,157339,,174959,,,,106942,,,,178337,,,,,,,,,,
Ascra1,,,,,,,,,9865,,,,665,,4490,,,,4492,,,,6415,,,,,,,,,,
Macan1,,,,,440838,,,,176475,,,,407422,,,,,,408648,,,,33668,,,,,,,,,,
Phomu1,,,,,465816,,,,166589,,,,479608,,499661,,,,492148,,,,473884,,,,,,,,,,
Didma1,,,,,18249,,,,14070,,,,13497,,14894,,,,14892,,,,20959,,,,,,,,,,
Dotsy1,,,,,,,,,361558,,,,279889,,289459,,,,356504,,,,359153,,,,364850,,,,,,
Parch1,,,,,139924,,,,93012,,,,173148,,401143,,,,402150,,,,112204,,,,,,,,,,
Parchr1,,,,,"458930,515204",,,,261453,,,,479066,,25199,,,,460131,,,,434980,,,,,,,,,,
Fenfe1,,,,,,,,,267724,,,,453446,,220450,,,,477715,,,,373140,,,,,,,,,,
Corca1,,,,,"649290,508554,483262",,599726,,42501,,,,534248,,502692,,,,638225,,,,600957,,,,,,,,,,
Stasp1,,,,321074,343545,,,,296851,,,,294712,,276139,,,,326557,,,,320164,,,,,,,,,,
Phapo1,,,,,678634,,,,669890,,,,723466,,120457,,,,120341,,,,289397,,,,,,,,,,
Pyrtt1,,,,,,,,,3331,,,,10074,,3165,,,,5661,,,,8521,,,,,,,,,,
PhaPMI808,,,,,"768722,786174",,,,,,,,679377,,682962,,,,682968,,,,"695640,828784",,,,,,,,,720413,
Settu3,,,,,,,,,1319284,,,,1304517,,1433051,,,,1376354,,,,1375928,,,,1436265,,,,,,
Settur3,,,,,,,,,434823,,,,529406,,440951,,,,440963,,,,418571,,,,493710,,,,,,
Coclu2,,,,,,,,,48609,,,,"138340,126791",,44919,,,,29439,,,,26160,,,,,,,,,,
Cocsa1,,53777,,,,,,,36837,,,,181734,,157080,,,,275042,,,,40154,,,,,,,,,,
Cocca1,,,,,,,,,108699,,,,86074,,21401,,,,21397,,,,37913,,,,,,,,,,
Cocvi1,,,,,,,,,89559,,,,96025,,86149,,,,11825,,,,17506,,,,,,,,,,
ChetHAW225_1,,,,,,,,,453439,,,,265323,,404332,,,,296154,,,,349398,,,,,,,,,,
ChetPR9b_2,,,,,,,,,221891,,,,223944,,416512,,,,288092,,,,321247,,,,,,,,,,
CocheC4_1,,,,,,,,,23197,,,,207309,,82412,,,,24826,,,,30211,,,,,,,,,,
ChetHm338_1,,,,,,,,,264334,,,,279723,,21445,,,,387117,,,,358545,,,,,,,,,,
ChetPR1x412_2,,,,,,,,,213417,,,,432320,,382083,,,,287348,,,,337394,,,,,,,,,,
CocheC4_3,,,,,,,,,23197,,,,207309,,82412,,,,24826,,,,30211,,,,,,,,,,
Decga1,,,,,,,,,206374,,,,516710,,593453,,,,575218,,,,55925,,,,,,,,,,
Clael1,,,,,427971,,,,460095,,,,351266,,430786,,,,235364,,,,12461,,,,,,,,,,
Altro1,,,,,,,,,9645,,,,8114,,313661,,,,158379,,,,374757,,,,,,,,,,
Altsp017_1,,,,,,,,,28867,,,,556473,,283653,,,,283539,,,,416170,,,,,,,,,,
Altsp012_1,,,,,,,,,15878,,,,517788,,143641,,,,143792,,,,51647,,,,,,,,,,
Altbr1,,,,,,,,,9785,,,,9857,,,,,,2275,,,,306,,,,,,,,,,
Albra1,,,,,,,,,98853,,,,98924,,,,,,95469,,,,96608,,,,,,,,,,
Alttom1,,,,,,,,,124552,,,,118300,,124675,,,,124672,,,,116770,,,,,,,,,,
Altma1,,,,,,,,,109686,,,,119215,,109960,,,,109963,,,,117683,,,,,,,,,,
Altcr1,,,,,,,,,110050,,,,111999,,113312,,,,"105807,113309",,,,106323,,,,,,,,,,
Altca1,,,,,,,,,110021,,,,105701,,106896,,,,105836,,,,110248,,,,,,,,,,
Altda1,,,,,,,,,111614,,,,108351,,,,,,116836,,,,119368,,,,,,,,,,
Stely1,,,,,,,,,1855,,,,4842,,194,,,,"7566,196",,,,4272,,,,,,,,,,
Altcar1,,,,,,,,,109713,,,,119975,,119351,,,,119353,,,,119696,,,,,,,,,,
Altso1,,,,,,,,,121729,,,,121832,,115231,,,,115171,,,,,,,,,,,,,,
Altci1,,,,,,122505,,,122320,,,,124473,,122799,,,,"115776,126002",,,,120699,,,,,,,,,,
Altta1,,,,,,,,,122462,,,,"122586,118663",,117407,,,,"121210,117273",,,,117279,,,,,,,,,,
Altlo1,,,,,,,,,256363,,,,262475,,255550,,,,255548,,,,263022,,,,,,,,,,
Amal3063,,,,,,,,,119556,,,,120669,,122664,,,,"118755,126539",,,,118086,,,,,,,,,,
Altar1,,,,,,,,,,,,,115787,,113298,,,,111046,,,,113831,,,,,,,,,,
Altga1,,,,,,267963,,,274154,,,,265626,,273549,,,,"275123,272741,271162,271005",,,,,,,,,,,,,,
Altli1,,,,,,,,,251277,,,,254188,,254175,,,,"248096,251090",,,,255080,,,,,,,,,,
Alalt1,,,,,,,,,114327,,,,"119805,118596",,120340,,,,120338,,,,117704,,,,,,,,,,
Amal3064,,,,,,117862,,,120106,,,,125150,,115647,,,,"115271,119293",,,,124116,,,,,,,,,,
Altte1,,,,,,,,,112289,,,,"112190,114365",,116943,,,,116946,,,,113679,,,,,,,,,,
Aalte1,,,,,113075,,,,119922,,,,119825,,114179,,,,114182,,,,119111,,,,,,,,,,
Alalte1,,,,,,,,,105009,,,,115293,,111952,,,,111954,,,,112254,,,,,,,,,,
Altal1,,,,,,,,,179413,,,,"1021945,1036485",,1057721,,,,528893,,,,242431,,,,,,,,,,
Altalt1,,,,,,,,,342478,,,,"390742,502983",,,,,,393167,,,,453517,,,,,,,,,,
Altfr1,,,,,,,,,239554,,,,"243089,240938",,242010,,,,245038,,,,241239,,,,,,,,,,
Aqupat1,,,,,520492,,,,240593,,,,614024,,620505,,,,620474,,,,635857,,,,,,,,,,
Lenfl1,,424895,,,474278,,,,422057,,,,424625,,300112,,,,416799,,,,290752,,,,,,,,,,
Daral1,,,,,,,,,130443,,,,1042425,,901240,,,,901252,,,,515192,,,,,,,,,,
Parsp1,,1139083,,,1210711,,,,,,,,1206885,,1130394,,,,1103668,,,,1213453,,,,1189716,,,,,,
Karrh1,,447278,,,,,,,372427,,,,431236,,30874,,,,30935,,,,17313,,,,487184,,,,,,
Didsa1,,461418,,,,,,,369464,,,,246922,,489393,,,,461289,,,,367636,,,,129033,,,,,,
Bimnz1,,,,,584871,,,,219057,,,,586193,,533237,,,,464464,,,,335842,,,,501991,,,,,,
Amnli1,,,,,486336,,,,248088,,,,554168,,187063,,,,433884,,,,616042,,,,,,,,,,
Bysci1,,,,,,,,,95315,,,,460578,,445515,,,,66510,,,,481566,,,,,,,,,,
Microd1,,,,,,,,,,,,,163904,,143159,,,,143087,,,,650701,,,,,,,,,,
Flaful1,,,,616058,,,,,675923,,,,736695,,16723,,,,"600316,709561",,,,581189,,,,,,,,,,
Perma1,,,,521543,,588361,,,718169,,,,732349,,"714413,700752",,,,512459,,,,"660441,525654",,,,,,,,,,
Masph1,,,,,,,,,,,,,479491,,609166,,,,499557,,,,531198,,,,,,,,,,
Linin1,,,,331795,295302,,,,258741,,,,276048,,225715,,,,225963,,,,262686,,,,,,,,,,
Pleav1,,,,,77561,,,,,,,,74707,,68992,,,,49678,,,,61488,,,,,,,,,,
Veren1,,,95840,,584689,,,,549486,,,,538342,,161890,,,,161767,,,,242879,,,,,,,,,,
Zoprh1,,735665,,,728797,742074,,,549648,,,,699421,,603335,,,,720756,,,,587840,,,,,,,,659997,,
Lopnu1,,,,,650735,,,,24251,,,,555823,,482321,,,,133242,,,,561641,,,,,,,,,568518,
Polfu1,,,483935,,451268,,,,513873,,,,543462,,561147,,,,80728,,,,234124,,,,,,,,,,
Lopma1,,,,,775134,,,,772166,,,,689143,,586937,,,,420743,,,,600523,,,,,,,,,,
Jahaq1,,,,,540559,,,,535966,,,,400634,,66231,,,,506653,,,,258288,,,,,,,,,,
Acrvag1,,,,,797579,,,,670779,,,,1032495,,820437,,,,852675,,,,444105,,,,,,,,,,
Delco1,,,411263,,366426,,,,68195,,,,431437,,469362,,,,204720,,,,497230,,,,,,,,,,
Currey1,,,,,290605,,,,294463,,,,362366,,50471,,,,50265,,,,155677,,,,,,,,,,
DelFL0756_1,,,,,462129,,,,87019,,,,476151,,88187,,,,511401,,,,396829,,,,,,,,,,
Rhyru1_1,,,,,112471,,,,110369,,,,119066,,119434,,,,114108,,,,111739,,,,,117612,,,,,
Hyspu1_1,,,114717,121384,114324,,,,112713,,,,123249,,116524,,,,116526,,,,116670,,,,,,,,,,
Glonio1,,,,181369,632345,,,,606829,,,,733906,,604440,,,,604044,,,,13959,,,,36073,,,,,,
Cenge3,,,,,,,,,658160,,,,648929,,653071,,,,653063,,,,679288,,,,,,,,,,
Leppa1,,430789,,,,,,,305265,,,,386449,,409898,,,,430011,,,,295732,,,,,,,,,,
Lophiu1,,,99871,,,,,,153801,,,,525022,,608260,,,,544311,,,,501907,,,,,,,,,,
Mytre1,,,511609,,440209,,,,462163,,,,420858,,436278,,,,380525,,,,373467,,,,,,,,,,
Lopmy1,,,,,,,,,584880,,,,394138,,238190,,,,238317,,,,554300,,,,,,,,,,
Cryan3,,,,,,,,,27039,,,,"858952,833091",,585847,,,,,,,,836228,,,586390,,,,,,,
Delst1,,,,,,,,,412978,,,,2441,,397210,,,,,,,,359819,,,292986,,,,,,,
Aurpu_var_mel1,,,,,,61302,,,45650,,,,80561,,80141,,,,,,,,37645,,,71312,,,,,,,
Aurpu_var_nam1,,,,,,,,,41375,,,,49932,,59298,,,,,,,,36372,,,77185,,,,,,,
Aurpu_var_sub1,,,,,,,,,4343,,,,1020,,99381,,,,,,,,107809,,,327050,,,,,,,
Aurpu_var_pul1,,,,,,,,,281301,,,,409345,,46967,,,,,,,,302294,,,277099,,,,,,,
AurpulNBB1,,,,,,50327,,,46785,,,,56995,,58443,,,,,,,,68047,,,77737,,,,,,,
Conap1,,,,,,96416,,,,,,,98804,,95386,,,,95388,,,,94307,,,,95573,,,,,,
Psehy1,,,513207,,,,,,,,,,475030,,486224,,,,531879,,,,327944,,,,,,,,,,
Erebi1,,,,,396454,,,,,,,,470181,,473700,,,,466427,,,,505484,,,,,,,,,,
Meltu1,,,,,,,"655014,634352,538180",,,,,,185141,,646162,,,,551468,,,,534564,,,,,,,,,,
Patat1,,,,,,,,,,,,,1026528,,934833,,,,1016612,,,,1017380,,,,,,,,,,
Sacpr1,,,,,,,,,,,,,50876,,66780,,,,57877,,,,73713,,,,,,,,,,
Pse1611_1,,,,,,657223,"414288,406970,673005",,,,,,664581,,416157,,,,415952,,,,278700,,,,,,,,754817,,
Neopa1,,,,,,,"9265,6001",,,,,,6683,,7093,,,,7091,,,,7230,,,,,,,,,,
Botdo1_1,,,,,,,"291284,287411",,,,,,299538,,289507,,,,295182,,,,296647,,,,,,,,,,
Dipse1,,,,,,,1919,,,,,,120,,403,,,,405,,,,2227,,,,,,,,,,
Macph1,,,,,,,1931,,,,,,4848,,11999,,,,12002,,,,2258,,,,,,,,,11253,
Macpha1,,,,,,109203,"699733,591909,753921",,,,,,693177,,581684,,,,266916,,,,217875,,,,,,,,,714729,
Aplpr1,,,,,,,,,,,,,282385,,142631,,,,245375,,,,273478,,,,,,,,,,
Alikh1,,,,,,,,,641874,,,,733899,,659055,,,,659079,,,,677906,,,,,,,,,,
Aulhe2,,,,,,,,,388042,,,,395717,,34101,,,,374257,,,,331683,,,,,,,,,,
Linrh1,,,,,,,,,65311,,,,344202,,190550,,,,190286,,,,368310,,,,,,,,,,
Rhili1,,,,69387,64172,,,,35391,,,,73445,,67230,,,,,,,,71713,,,42838,33751,,,,,,
DotP12C66,,,,,,,,,447369,,,,547859,,264405,,,,515304,,,,436603,,,,,,,,,,
VenspP74_1,,,,370478,,,,,136472,,,,806739,,"803797,834318",,,,201150,,,,690731,,,,820919,,,,,,
Veneff1,,,,,,,,,2798,,,,5741,,8541,,,,8538,,,,3817,,,,,,,,,,
Venpi1,,,,,,,"209114,209115",,214732,,,,212948,,209120,,,,209117,,,,207841,,,,,,,,,,
Venin1,,,,,,,,,15763,,,,21218,,16693,,,,18631,,,,,,,,,,,,,,
Totfu1,,,,,,,,,587662,,,,655951,,590598,,,,275527,,,,653055,,,,,,,,,,
Verga1,,,,,,,,,119806,,,,"124906,124905",,120061,,,,120063,,,,116312,,,,,,,,,,
Tribi1,,,,,,,,,540046,,,,474062,,39549,,,,530718,,,,481417,,,,,,,,,,
